type,model,variable,bias,loa_upper,loa_lower,bias_ci_lower,bias_ci_upper,loa_upper_ci_lower,loa_upper_ci_upper,loa_lower_ci_lower,loa_lower_ci_upper
median5,neural_network,diff_waso,44.95172413793104,141.73128245729646,-51.82783418143438,41.208909556790935,49.23336693501548,125.79591285595104,174.07083764491264,-76.39940010612636,-39.140455947379415
median5,xgboost,diff_spt,0.2068965517241351,97.78143062381989,-97.36763752037164,-3.662068965517246,4.472175986538551,86.64765771442471,110.97611333706936,-106.22602044276633,-90.30356808168662
median5,xgboost,diff_tst,-7.046551724137931,81.43470959527328,-95.52781304354912,-10.752167909221868,-3.3081266361865223,72.37855239688804,92.52184252865624,-105.1551804396489,-88.03096721846687
median5,xgboost,diff_se,-1.1430914564874928,13.267220352087817,-15.5534032650628,-1.7428349020650131,-0.5419423319894725,12.188394913129844,14.675912569750247,-16.984761606167634,-14.378313723134456
median5,xgboost,diff_lps,28.500862068965517,133.36771121747051,-76.36598707953947,23.89906297991519,32.58655805125017,120.43418770737986,154.19067801596046,-104.15796607556264,-63.280433149247635
median5,xgboost,diff_waso,-0.8612068965517241,81.72663336812829,-83.44904716123173,-3.901349170516032,3.0300709760518973,61.97128415167854,119.59126717113467,-113.109599298801,-66.02467760348128
median10,biLSTM,diff_spt,-83.6794425087108,40.00147453785897,-207.36035955528058,-90.67248511513498,-76.10512158669749,27.738196817936995,57.13224790960743,-221.2618323721786,-195.20962826949705
median10,biLSTM,diff_tst,-42.18815331010453,77.6226974230519,-161.99900404326098,-49.34275646353541,-35.10864599125188,66.3180477806887,90.43375152838207,-176.85583118438512,-149.57156718016665
median10,biLSTM,diff_se,6.394269893190183,19.244686874147554,-6.456147087767187,5.66182611889323,7.176861260363941,17.719452155189646,21.16506078557612,-7.846514230157916,-5.281012600699759
median10,biLSTM,diff_lps,-21.466898954703833,144.25116266849224,-187.1849605778999,-32.680531836594874,-12.846689895470384,104.31500051288495,192.58622704260532,-253.41437534051948,-138.59567862444723
median10,biLSTM,diff_waso,26.794425087108014,181.76827993530046,-128.17942976108444,19.241475993794964,37.96373484734459,132.8056901146188,250.70822183129556,-176.3216619672915,-90.8070540119675
median10,decision_tree,diff_spt,-21.830742659758208,73.66689242878985,-117.32837774830624,-25.66635349007412,-17.77825620115051,63.411325379476686,85.40576058588229,-125.23555298056706,-110.38519115382697
median10,decision_tree,diff_tst,-31.465457685664944,66.9853333002506,-129.9162486715805,-35.746350286501084,-27.43086971729218,58.32588177154847,77.7304403746009,-140.87294386458765,-121.78829327259842
median10,decision_tree,diff_se,-2.0931227644185997,13.856371109789606,-18.042616638626804,-2.760330501267196,-1.4319441682017904,12.644579858153469,15.347581739351448,-19.90303752311987,-16.617247653215088
median10,decision_tree,diff_lps,22.83851468048359,148.3909145309947,-102.71388517002752,17.142139635921218,27.63713695207949,131.86456216891796,173.56545200985352,-137.0694793435044,-83.27825530442828
median10,decision_tree,diff_waso,8.971502590673575,115.32952248870212,-97.38651730735496,5.151986183074266,14.252282565910788,85.21588672471275,163.01514828425863,-133.51390535443568,-72.09276839431725
median10,logistic_regression,diff_spt,-4.200345423143352,105.02247857404812,-113.4231694203348,-8.570420078420726,0.5222949626965047,94.18110814380113,117.95836027300206,-122.41440704758298,-105.97549174518726
median10,logistic_regression,diff_tst,-130.93436960276338,33.19795332961979,-295.06669253514656,-137.9755260125248,-124.2141822237506,23.316352605628587,45.13972421312453,-311.8078337027592,-281.4165244303647
median10,logistic_regression,diff_se,-21.603526410398935,2.5399358473719964,-45.74698866816986,-22.645593726937268,-20.635196316729917,0.9617108777912972,4.336849601190679,-48.15589360724089,-43.80400341957508
median10,logistic_regression,diff_lps,60.70984455958549,186.245451745366,-64.82576262619503,54.8848760980529,65.58834854159215,168.09154752976957,213.59136838265016,-100.81342134313752,-43.9259276953677
median10,logistic_regression,diff_waso,44.817789291882555,155.68543432391797,-66.04985574015288,40.76244942542744,50.0483162769126,130.24714692919525,197.79850787351967,-98.29138892733424,-45.090733546546254
median10,neural_network,diff_spt,-4.0768566493955145,104.48162672030088,-112.6353400190919,-8.468945955687301,0.5584979329168954,93.49644312258668,117.55434003737182,-121.72679433535144,-105.0343826975011
median10,neural_network,diff_tst,-116.30483592400692,33.55155023231035,-266.16122208032414,-122.90845035947008,-110.27633851468048,24.672572479502513,43.40350085773056,-280.3802438286168,-254.23001882915747
median10,neural_network,diff_se,-19.086551475175817,4.697300749396462,-42.870403699748096,-20.080656144643424,-18.098886413733947,3.344454714861942,6.168648065360881,-44.83776245381798,-41.082368734568256
median10,neural_network,diff_lps,33.75474956822107,158.57506746589164,-91.06556832944948,28.038339298828205,38.58352571926443,141.17681142605545,184.73225537412043,-127.166526914949,-70.23426249385989
median10,neural_network,diff_waso,53.36614853195164,165.36699231280008,-58.6346952488968,49.2279792746114,58.661715707050234,140.4139759694807,206.73717830784997,-89.6103672336207,-38.57555371204193
median10,xgboost,diff_spt,0.2176165803108779,97.87520797295656,-97.4399748123348,-3.7824630057787494,4.41434514267664,86.69395350301187,111.05211934700596,-106.08937776312278,-90.03974650070455
median10,xgboost,diff_tst,-4.155440414507773,82.32759908728946,-90.63847991630502,-7.720954891171349,-0.5236340145952969,72.34543817759199,95.3191598812249,-101.2657386324579,-82.859793816349807
median10,xgboost,diff_se,-0.6489452367810397,13.199634106452883,-14.497524580014964,-1.2245030657179783,-0.07505204716616995,12.070514645348922,14.86305902438147,-16.0063869478207,-13.276490339861835
median10,xgboost,diff_lps,26.382556131260795,145.01301848561036,-92.24790622308876,20.97838327716593,30.843660068429763,125.45396131750454,173.67235845074322,-129.96789216658243,-69.4835996064147
median10,xgboost,diff_waso,3.816062176165803,105.72623629026673,-98.09411193793512,0.26424870466321243,9.062631975556382,74.5272499948276,153.3563473199525,-135.40047720629536,-71.8972532380593
